title,year,budget,revenue,runtime,vote_count,vote_average,popularity,wr,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Taxi Driver,1976,1300000,28262574.0,114.0,2632,8,14.092713,7.61000819627672,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Psycho,1960,806948,32000000.0,109.0,2405,8,36.826309,7.578825336310119,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
"The Good, the Bad and the Ugly",1966,1200000,6000000.0,161.0,2371,8,16.788787,7.573720188871453,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12 Angry Men,1957,350000,1000000.0,96.0,2130,8,16.503959,7.533652546717795,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Apocalypse Now,1979,31500000,89460381.0,153.0,2112,8,13.5963,7.530355510520199,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Howl's Moving Castle,2004,24000000,234710455.0,119.0,2049,8,16.136048000000002,7.518439440106494,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Princess Mononoke,1997,26500000,159375308.0,134.0,2041,8,17.166725,7.5168828807209795,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Dilwale Dulhania Le Jayenge,1995,13200000,100000000.0,190.0,661,9,34.457024,7.511675917611347,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Oldboy,2003,3000000,14980005.0,120.0,2000,8,10.616859,7.508744917742163,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
The Pianist,2002,35000000,120072577.0,150.0,1927,8,14.811594,7.4935557517087785,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
City of God,2002,3300000,30641770.0,130.0,1852,8,14.959270000000002,7.47694012676484,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
My Neighbor Totoro,1988,0,0.0,86.0,1730,8,13.507299,7.447451538717387,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Lion,2016,12000000,140302754.0,118.0,1699,8,17.085145,7.439421064127719,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Rear Window,1954,1000000,36764313.0,112.0,1531,8,17.911314,7.3914937047248985,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1800000,9440272.0,95.0,1472,8,9.803980000000001,7.372657465784064,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Citizen Kane,1941,839727,23217674.0,119.0,1244,8,15.811921,7.287416644686785,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
Vertigo,1958,2479000,28000000.0,128.0,1162,8,18.20822,7.250805219163174,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
Once Upon a Time in the West,1968,5000000,5321508.0,175.0,1160,8,15.589351,7.249865200617582,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Once Upon a Time in America,1984,30000000,0.0,229.0,1104,8,32.182851,7.222552099989874,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
It's a Wonderful Life,1946,3180000,9644124.0,130.0,1103,8,15.031588000000001,7.222046278324285,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
Your Name.,2016,0,355298270.0,106.0,1030,8,34.461252,7.183254870071329,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Grave of the Fireflies,1988,3700000,0.0,89.0,974,8,0.010902,7.150770688767348,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Seven Samurai,1954,2000000,271841.0,207.0,892,8,15.01777,7.0982542456896125,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Modern Times,1936,1,8500000.0,87.0,881,8,8.159556,7.09071112531135,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Some Like It Hot,1959,2883848,25000000.0,122.0,835,8,11.845107,7.057750299278506,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Cinema Paradiso,1988,0,11990401.0,124.0,834,8,14.177005,7.0570072001454465,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
The Great Dictator,1940,2000000,11000000.0,125.0,756,8,9.241748,6.995197588054139,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Paperman,2012,0,0.0,7.0,734,8,7.198633,6.976271515226392,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
Mommy,2014,4900000,3494070.0,138.0,734,8,14.876085999999999,6.976271515226392,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Band of Brothers,2001,125000000,0.0,705.0,725,8,7.903731,6.968321941142732,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Avatar,2009,237000000,2787965087.0,162.0,12114,7,185.070892,6.939295914072714,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
The Avengers,2012,220000000,1519557910.0,143.0,12000,7,89.887648,6.938739354172786,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Deadpool,2016,58000000,783112979.0,108.0,11444,7,187.860492,6.935871790687357,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Django Unchained,2012,100000000,425368238.0,165.0,10297,7,19.785025,6.929017345054928,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Guardians of the Galaxy,2014,170000000,773328629.0,121.0,10014,7,53.291601,6.927094671686871,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mad Max: Fury Road,2015,150000000,378858340.0,120.0,9629,7,29.36178,6.924305389027569,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
The Dark Knight Rises,2012,250000000,1084939099.0,165.0,9263,7,20.58258,6.92144839948277,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
The Matrix,1999,63000000,463517383.0,136.0,9079,7,33.366332,6.919929058108318,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Iron Man,2008,140000000,585174222.0,126.0,8951,7,22.073099,6.918836987723434,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Sing Street,2016,4000000,13624522.0,106.0,669,8,10.672862,6.915943000711174,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
The Hobbit: An Unexpected Journey,2012,250000000,1021103568.0,169.0,8427,7,23.253089000000003,6.914037369347074,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Metropolis,1927,92620000,650422.0,153.0,666,8,14.487867000000001,6.912986481622205,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Star Wars: The Force Awakens,2015,245000000,2068223624.0,136.0,7993,7,31.626013,6.909610196960297,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
Titanic,1997,200000000,1845034188.0,194.0,7770,7,26.88907,6.907153233762119,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
Batman Begins,2005,150000000,374218673.0,140.0,7511,7,28.505340999999998,6.9041265109860825,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Captain America: Civil War,2016,250000000,1153304495.0,147.0,7462,7,145.882135,6.903531551391138,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
The Martian,2015,108000000,630161890.0,141.0,7442,7,25.629929999999998,6.903286583263639,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Pirates of the Caribbean: The Curse of the Black Pearl,2003,140000000,655011224.0,143.0,7191,7,47.326665000000006,6.900102967840581,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Harry Potter and the Philosopher's Stone,2001,125000000,976475550.0,152.0,7188,7,38.187238,6.900063648620365,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Up,2009,175000000,735099082.0,96.0,7048,7,19.330884,6.898193682141731,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Avengers: Age of Ultron,2015,280000000,1405403694.0,141.0,6908,7,37.37942,6.896252401223703,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
The Wolf of Wall Street,2013,100000000,392000694.0,180.0,6768,7,16.382422000000002,6.894235647012556,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Inside Out,2015,175000000,857611174.0,94.0,6737,7,23.985587,6.893778431151085,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
The Hunger Games: Catching Fire,2013,130000000,847423452.0,146.0,6656,7,25.309139000000002,6.892564898418113,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Inglourious Basterds,2009,70000000,319131050.0,153.0,6598,7,16.89564,6.891678772722472,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
Despicable Me,2010,69000000,543513985.0,95.0,6595,7,22.274502,6.891632540871308,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Shutter Island,2010,80000000,294804195.0,138.0,6559,7,15.813629,6.891074664633837,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
The Revenant,2015,135000000,532950503.0,156.0,6558,7,23.501228,6.891059086067567,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
WALL·E,2008,180000000,521311860.0,98.0,6439,7,16.088366,6.889172869166948,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Hangover,2009,35000000,459270619.0,100.0,6324,7,23.947351,6.887286938411427,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Logan,2017,97000000,616801808.0,137.0,6310,7,54.581997,6.887052955187489,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Finding Nemo,2003,94000000,940335536.0,100.0,6292,7,25.497794,6.886750688341425,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Big Hero 6,2014,165000000,652105443.0,102.0,6289,7,213.84990699999997,6.886700153173349,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
X-Men: Days of Future Past,2014,250000000,747862775.0,131.0,6155,7,26.058586,6.88439598266572,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
"Monsters, Inc.",2001,115000000,562816256.0,92.0,6150,7,26.419961999999998,6.884308191036517,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Harry Potter and the Deathly Hallows: Part 2,2011,125000000,1342000000.0,130.0,6141,7,24.990737,6.884149829625008,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Kingsman: The Secret Service,2015,81000000,414351546.0,130.0,6069,7,28.224211999999998,6.882867158201511,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Harry Potter and the Prisoner of Azkaban,2004,130000000,789804554.0,141.0,6037,7,28.460276,6.882287919917234,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Ant-Man,2015,130000000,519311965.0,117.0,6029,7,26.882388,6.8821422141086845,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Gone Girl,2014,61000000,369330363.0,145.0,6023,7,154.80100900000002,6.882032697813911,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
Harry Potter and the Chamber of Secrets,2002,100000000,876688482.0,161.0,5966,7,29.741452000000002,6.880982051528816,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Life of Pi,2012,120000000,609016565.0,127.0,5912,7,14.045042,6.879969292433726,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Sherlock Holmes,2009,90000000,524028679.0,128.0,5883,7,15.68604,6.879418257049934,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Captain America: The Winter Soldier,2014,170000000,714766572.0,136.0,5881,7,18.717704,6.879380068057708,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Doctor Strange,2016,165000000,677718395.0,115.0,5880,7,43.847654,6.879360964489139,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
Gravity,2013,105000000,716392705.0,91.0,5879,7,18.50194,6.879341854868435,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
Harry Potter and the Goblet of Fire,2005,150000000,895921036.0,157.0,5758,7,24.903057999999998,6.876984032587924,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Arrival,2016,47000000,203388186.0,113.0,5729,7,30.83786,6.876405180883405,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False
Harry Potter and the Deathly Hallows: Part 1,2010,250000000,954305868.0,146.0,5708,7,23.300362,6.875982600095153,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Now You See Me,2013,75000000,117698894.0,115.0,5635,7,17.852022,6.874490876550408,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Harry Potter and the Order of the Phoenix,2007,150000000,938212738.0,138.0,5633,7,21.3643,6.87444950218962,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
Fantastic Beasts and Where to Find Them,2016,180000000,809342332.0,133.0,5612,7,41.051421000000005,6.874013418753627,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Gladiator,2000,103000000,457640427.0,155.0,5566,7,23.186667,6.873047521630737,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Maze Runner,2014,34000000,348319861.0,113.0,5540,7,76.93789,6.872494999963915,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
John Wick,2014,20000000,88761661.0,101.0,5499,7,183.870374,6.871613876585948,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Frozen,2013,150000000,1274219009.0,102.0,5440,7,24.248243,6.870324332615667,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Harry Potter and the Half-Blood Prince,2009,250000000,933959197.0,153.0,5435,7,19.083723000000003,6.870213857519923,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Toy Story,1995,30000000,373554033.0,81.0,5415,7,21.946943,6.869770068350902,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Pirates of the Caribbean: Dead Man's Chest,2006,200000000,1065659812.0,151.0,5380,7,29.455314,6.8689860904341975,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
The Incredibles,2004,92000000,631442092.0,115.0,5290,7,22.220214000000002,6.86692612330266,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
X-Men: First Class,2011,160000000,353624124.0,132.0,5252,7,0.738633,6.866036779772146,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Saving Private Ryan,1998,70000000,481840909.0,169.0,5148,7,21.758054,6.863540868825587,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
Rogue One: A Star Wars Story,2016,200000000,1056057273.0,133.0,5111,7,36.567575,6.862630320971041,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
300,2006,65000000,422610419.0,117.0,5092,7,18.108407999999997,6.862158003942169,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Kill Bill: Vol. 1,2003,30000000,180949000.0,111.0,5091,7,25.261865,6.862133055164603,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wonder Woman,2017,149000000,820580447.0,141.0,5025,7,294.337037,6.860466226375605,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Edge of Tomorrow,2014,178000000,370541256.0,113.0,4979,7,31.982986,6.85928045996387,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Zootopia,2016,150000000,1023784195.0,108.0,4961,7,26.024868,6.858810960108328,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Jurassic Park,1993,63000000,920100000.0,127.0,4956,7,8.863776,6.858679986972992,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
The Hobbit: The Battle of the Five Armies,2014,250000000,956019788.0,144.0,4884,7,31.718977000000002,6.856766665999328,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Ex Machina,2015,15000000,36869414.0,108.0,4862,7,14.14078,6.856171663478932,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Guardians of the Galaxy Vol. 2,2017,200000000,863416141.0,137.0,4858,7,185.33099199999998,6.8560629496947145,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Silver Linings Playbook,2012,21000000,205738714.0,122.0,4840,7,14.488110999999998,6.855571696963297,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Return of the Jedi,1983,32350000,572700000.0,135.0,4763,7,14.586087,6.853431812542702,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Kick-Ass,2010,28000000,96188903.0,117.0,4747,7,17.26045,6.852979179653431,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
La La Land,2016,30000000,445435700.0,128.0,4745,7,19.681686,6.8529224038973595,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
Despicable Me 2,2013,76000000,970761885.0,98.0,4729,7,24.82355,6.852466614329736,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Toy Story 3,2010,200000000,1066969703.0,103.0,4710,7,16.96647,6.851921681528855,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Truman Show,1998,60000000,264118201.0,103.0,4702,7,13.155901,6.85169102994245,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Birdman,2014,18000000,103215094.0,119.0,4657,7,18.193263,6.85038010799144,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Wreck-It Ralph,2012,165000000,471222889.0,108.0,4656,7,13.697597,6.850350713120712,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Hobbit: The Desolation of Smaug,2013,250000000,958400000.0,161.0,4633,7,20.644776,6.8496714288108205,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Maleficent,2014,180000000,758539785.0,97.0,4607,7,19.467404000000002,6.848896078116331,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
American Sniper,2014,58800000,542307423.0,133.0,4600,7,19.228561,6.848685961419235,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Star Trek,2009,150000000,385680446.0,127.0,4574,7,15.362632000000001,6.847900385340341,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Alien,1979,11000000,104931801.0,117.0,4564,7,23.37742,6.847596064382637,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
Black Swan,2010,13000000,327803731.0,108.0,4562,7,12.989056,6.847535054000085,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
V for Vendetta,2006,54000000,132511035.0,132.0,4562,7,20.214422,6.847535054000085,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Dawn of the Planet of the Apes,2014,170000000,710644566.0,130.0,4511,7,75.385211,6.8459626147187915,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
Ratatouille,2007,150000000,623722818.0,111.0,4510,7,20.508029999999998,6.84593145828973,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Star Trek Into Darkness,2013,190000000,467365246.0,132.0,4479,7,15.78129,6.84495931809168,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Split,2016,9000000,276921998.0,117.0,4461,7,28.920839,6.844389199138799,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
The Departed,2006,90000000,289847354.0,151.0,4455,7,18.515448000000003,6.84419822658712,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Rise of the Planet of the Apes,2011,93000000,482860185.0,105.0,4452,7,41.613762,6.844102564425794,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
Taken,2008,25000000,226830568.0,93.0,4444,7,16.367481,6.843846890074708,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The Hateful Eight,2015,44000000,155760117.0,167.0,4405,7,20.328822,6.842588371519823,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True
